Ranking,District,State,Population,Growth,Sex_Ratio,Literacy,Store_Score
43,Solapur,Maharashtra,4317756,12.16,938,77.02,0.421
44,Visakhapatnam,Andhra Pradesh,4290589,11.96,1006,66.91,0.37
45,Samastipur,Bihar,4261566,25.53,911,61.86,0.371
46,Jalgaon,Maharashtra,4229917,14.86,925,78.2,0.428
47,Chittoor,Andhra Pradesh,4174064,11.43,997,71.53,0.387
48,Vadodara,Gujarat,4165626,14.38,934,78.92,0.429
49,Muzaffarnagar,Uttar Pradesh,4143512,16.94,889,69.12,0.385
50,Malappuram,Kerala,4112920,13.45,1098,93.57,0.496
51,Hardoi,Uttar Pradesh,4092845,20.44,868,64.57,0.368
52,Anantapur,Andhra Pradesh,4081148,12.1,977,63.57,0.347
53,Raipur,Chhattisgarh,4063872,34.7,984,75.56,0.448
54,Kurnool,Andhra Pradesh,4053463,14.85,988,59.97,0.334
55,Mahbubnagar,Andhra Pradesh,4053028,15.34,977,55.04,0.311
56,Kheri,Uttar Pradesh,4021243,25.38,894,60.56,0.356
57,Kancheepuram,Tamil Nadu,3998252,38.95,986,84.49,0.498
58,Maldah,West Bengal,3988845,21.22,944,61.73,0.352
59,Saran,Bihar,3951862,21.64,954,65.96,0.372
60,Hyderabad,Andhra Pradesh,3943323,2.97,954,83.25,0.419
61,Darbhanga,Bihar,3937385,19.47,911,56.56,0.322
62,West Godavari,Andhra Pradesh,3936966,3.51,1004,74.63,0.378
63,Vellore,Tamil Nadu,3936331,13.2,1007,79.17,0.419
64,Pashchim Champaran,Bihar,3935042,29.29,909,55.7,0.337
65,Kolhapur,Maharashtra,3876001,10.01,957,81.51,0.422
66,Jalpaiguri,West Bengal,3872846,13.87,953,73.25,0.39
67,Rajkot,Gujarat,3804558,20.02,927,80.96,0.436
68,Sultanpur,Uttar Pradesh,3797117,18.11,983,69.27,0.376
69,Karimnagar,Andhra Pradesh,3776269,8.15,1008,64.15,0.331
70,Thiruvallur,Tamil Nadu,3728104,35.33,987,84.03,0.479
71,Aurangabad,Maharashtra,3701282,27.76,923,79.02,0.438
72,Jodhpur,Rajasthan,3687165,27.74,916,65.94,0.374
73,Bijnor,Uttar Pradesh,3682713,17.6,917,68.48,0.367
74,Budaun,Uttar Pradesh,3681896,19.95,871,51.29,0.288
75,Varanasi,Uttar Pradesh,3676841,17.15,913,75.6,0.4
76,Alwar,Rajasthan,3674179,22.78,895,70.72,0.387
77,Aligarh,Uttar Pradesh,3673889,22.78,882,67.52,0.372
78,North West Delhi,Delhi,3656539,27.81,865,84.45,0.463
79,Ghazipur,Uttar Pradesh,3620268,19.18,952,71.78,0.384
80,Bankura,West Bengal,3596674,12.65,957,70.26,0.363
81,Kushinagar,Uttar Pradesh,3564544,23.2,961,65.25,0.358
82,Ganjam,Orissa,3529031,11.66,983,71.09,0.362
83,Warangal,Andhra Pradesh,3512576,8.21,997,65.11,0.326
84,Birbhum,West Bengal,3502404,16.15,956,70.68,0.368
85,Bulandshahar,Uttar Pradesh,3499171,20.12,896,68.88,0.367
86,Ludhiana,Punjab,3498739,15.36,873,82.2,0.422
87,Vaishali,Bihar,3495021,28.57,895,66.6,0.372
88,Nalgonda,Andhra Pradesh,3488809,7.41,983,64.2,0.319
89,Bahraich,Uttar Pradesh,3487731,46.48,892,49.36,0.323
90,Salem,Tamil Nadu,3482056,15.44,954,72.86,0.377
91,Saharanpur,Uttar Pradesh,3466382,19.66,890,70.49,0.373
92,Viluppuram,Tamil Nadu,3458873,16.84,987,71.88,0.374
93,Coimbatore,Tamil Nadu,3458045,18.56,1000,83.98,0.436
94,Meerut,Uttar Pradesh,3443689,14.89,886,72.84,0.374
95,Gonda,Uttar Pradesh,3433919,24.17,921,58.71,0.323
96,Sitamarhi,Bihar,3423574,27.62,899,52.05,0.297
97,Rae Bareli,Uttar Pradesh,3405559,18.56,943,67.25,0.353
98,Prakasam,Andhra Pradesh,3397448,11.05,981,63.08,0.317
99,Nanded,Maharashtra,3361292,16.86,943,75.45,0.388
100,Durg,Chhattisgarh,3343872,18.98,988,79.06,0.409
101,Siwan,Bihar,3330464,22.7,988,69.45,0.369
102,Nagaur,Rajasthan,3307743,19.2,950,62.8,0.329
103,Thiruvananthapuram,Kerala,3301427,2.07,1087,93.02,0.442
104,Ernakulam,Kerala,3282388,5.69,1027,95.89,0.462
105,Indore,Madhya Pradesh,3276697,32.88,928,80.87,0.442
106,Purnia,Bihar,3264619,28.33,921,51.08,0.288
107,Barabanki,Uttar Pradesh,3260699,21.96,910,61.75,0.327
108,Ballia,Uttar Pradesh,3239774,17.31,937,70.94,0.362
109,Pratapgarh,Uttar Pradesh,3209141,17.5,998,70.09,0.357
110,Thrissur,Kerala,3121200,4.94,1108,95.08,0.451
111,Banaskantha,Gujarat,3120506,24.61,938,65.32,0.345
112,Unnao,Uttar Pradesh,3108367,15.11,907,66.37,0.331
113,Deoria,Uttar Pradesh,3100946,14.31,1017,71.13,0.352
114,Kozhikode,Kerala,3086293,7.2,1098,95.08,0.454
115,Mumbai City,Maharashtra,3085411,-7.57,832,89.21,0.397
116,Tirunelveli,Tamil Nadu,3077233,12.97,1023,82.5,0.404
117,Katihar,Bihar,3071029,28.35,919,52.24,0.287
118,Udaipur,Rajasthan,3068420,23.69,958,61.82,0.324
119,Madurai,Tamil Nadu,3038252,17.84,990,83.45,0.417
120,Bhagalpur,Bihar,3037766,25.36,880,63.14,0.333
151,Sikar,Rajasthan,2677333,17.03,947,71.91,0.346
152,Bilaspur,Chhattisgarh,2663629,33.29,971,70.78,0.372
153,Kollam,Kerala,2635375,1.94,1113,94.09,0.423
154,Raigarh,Maharashtra,2634200,19.31,959,83.14,0.403
155,Fatehpur,Uttar Pradesh,2632733,14.05,901,67.43,0.317
156,Cuttack,Orissa,2624470,12.1,940,85.5,0.4
157,Cuddalore,Tamil Nadu,2605914,14.02,987,78.04,0.367
158,Barmer,Rajasthan,2603751,32.52,902,56.53,0.299
159,Buldana,Maharashtra,2586258,15.85,934,83.4,0.396
160,Bid,Maharashtra,2585049,19.61,916,76.99,0.372
161,Ajmer,Rajasthan,2583052,18.4,951,69.33,0.333
162,Gulbarga,Karnataka,2566326,18.01,971,64.85,0.31
163,Gopalganj,Bihar,2562012,19.02,1021,65.47,0.314
164,Siddharth Nagar,Uttar Pradesh,2559297,25.45,976,59.25,0.297
165,Nizamabad,Andhra Pradesh,2551335,8.77,1040,61.25,0.273
166,Bharatpur,Rajasthan,2548462,21.29,880,70.11,0.341
167,Mathura,Uttar Pradesh,2547184,22.78,863,70.36,0.345
168,West Delhi,Delhi,2543243,19.46,875,86.98,0.419
169,Aurangabad,Bihar,2540073,26.18,926,70.32,0.351
170,Kannur,Kerala,2523003,4.73,1136,95.1,0.429
171,Mayurbhanj,Orissa,2519738,13.33,1006,63.17,0.291
172,Firozabad,Uttar Pradesh,2498156,21.69,875,71.92,0.349
173,Mirzapur,Uttar Pradesh,2496970,18.0,903,68.48,0.325
174,Amritsar,Punjab,2490656,15.47,889,76.27,0.357
175,Tiruppur,Tamil Nadu,2479052,29.11,989,78.68,0.395
176,Faizabad,Uttar Pradesh,2470996,18.29,962,68.73,0.325
177,Tiruvannamalai,Tamil Nadu,2464875,12.75,994,74.21,0.341
178,Basti,Uttar Pradesh,2464464,18.21,963,67.22,0.318
179,Jabalpur,Madhya Pradesh,2463289,14.51,929,81.07,0.378
180,Latur,Maharashtra,2454196,17.97,928,77.26,0.366
181,Bellary,Karnataka,2452595,20.99,983,67.43,0.324
182,Giridih,Jharkhand,2445474,28.41,944,63.14,0.317
183,Sabarkantha,Gujarat,2428589,16.62,952,75.79,0.355
184,Bhilwara,Rajasthan,2408523,19.6,973,61.37,0.29
185,Thanjavur,Tamil Nadu,2405890,8.56,1035,82.64,0.372
186,Ambedkar Nagar,Uttar Pradesh,2397888,18.3,978,72.23,0.34
187,PanchMahal,Gujarat,2390776,18.05,949,70.99,0.333
188,Sagar,Madhya Pradesh,2378458,17.63,893,76.46,0.358
189,Bhopal,Madhya Pradesh,2371061,28.62,918,80.37,0.399
190,Rewa,Madhya Pradesh,2365106,19.86,931,71.62,0.339
191,Bikaner,Rajasthan,2363937,41.19,905,65.13,0.349
192,Surguja,Chhattisgarh,2359886,19.66,978,60.01,0.282
193,Vizianagaram,Andhra Pradesh,2344474,4.23,1019,58.89,0.246
194,Rampur,Uttar Pradesh,2335819,21.42,909,53.34,0.252
195,Baleshwar,Orissa,2320529,14.62,957,79.79,0.367
196,Kheda,Gujarat,2299885,13.62,940,82.65,0.378
197,Gurdaspur,Punjab,2298323,9.26,895,79.95,0.356
198,Purbi Singhbhum,Jharkhand,2293919,15.68,949,75.49,0.347
199,South West Delhi,Delhi,2292958,30.65,840,88.28,0.438
200,Erode,Tamil Nadu,2251744,11.66,993,72.58,0.323
201,Khordha,Orissa,2251673,19.94,929,86.88,0.409
202,North East Delhi,Delhi,2241624,26.78,886,83.09,0.403
203,Supaul,Bihar,2229076,28.66,929,57.67,0.283
204,Satna,Madhya Pradesh,2228935,19.19,926,72.26,0.336
205,Nawada,Bihar,2219146,22.63,939,59.76,0.281
